Name,Origin,Horsepower
Chevrolet Chevelle Malibu,US,130.0
Buick Skylark 320,US,165.0
Plymouth Satellite,US,150.0
AMC Rebel SST,US,150.0
Ford Torino,US,140.0
Ford Galaxie 500,US,198.0
Chevrolet Impala,US,220.0
Plymouth Fury iii,US,215.0
Pontiac Catalina,US,225.0
AMC Ambassador DPL,US,190.0
Citroen DS-21 Pallas,Europe,115.0
Chevrolet Chevelle Concours (sw),US,165.0
Ford Torino (sw),US,153.0
Plymouth Satellite (sw),US,175.0
AMC Rebel SST (sw),US,175.0
Dodge Challenger SE,US,170.0
Plymouth 'Cuda 340,US,160.0
Ford Mustang Boss 302,US,140.0
Chevrolet Monte Carlo,US,150.0
Buick Estate Wagon (sw),US,225.0
Toyota Corolla Mark ii,Japan,95.0
Plymouth Duster,US,95.0
AMC Hornet,US,97.0
Ford Maverick,US,85.0
Datsun PL510,Japan,88.0
Volkswagen 1131 Deluxe Sedan,Europe,46.0
Peugeot 504,Europe,87.0
Audi 100 LS,Europe,90.0
Saab 99e,Europe,95.0
BMW 2002,Europe,113.0
AMC Gremlin,US,90.0
Ford F250,US,215.0
Chevy C20,US,200.0
Dodge D200,US,210.0
Hi 1200D,US,193.0
Datsun PL510,Japan,88.0
Chevrolet Vega 2300,US,90.0
Toyota Corolla,Japan,95.0
Ford Pinto,US,0.0
Volkswagen Super Beetle 117,Europe,48.0
AMC Gremlin,US,100.0
Plymouth Satellite Custom,US,105.0
Chevrolet Chevelle Malibu,US,100.0
Ford Torino 500,US,88.0
AMC Matador,US,100.0
Chevrolet Impala,US,165.0
Pontiac Catalina Brougham,US,175.0
Ford Galaxie 500,US,153.0
Plymouth Fury iii,US,150.0
Dodge Monaco (sw),US,180.0
Ford Country Squire (sw),US,170.0
Pontiac Safari (sw),US,175.0
AMC Hornet Sportabout (sw),US,110.0
Chevrolet Vega (sw),US,72.0
Pontiac Firebird,US,100.0
Ford Mustang,US,88.0
Mercury Capri 2000,US,86.0
Opel 1900,Europe,90.0
Peugeot 304,Europe,70.0
Fiat 124B,Europe,76.0
Toyota Corolla 1200,Japan,65.0
Datsun 1200,Japan,69.0
Volkswagen Model 111,Europe,60.0
Plymouth Cricket,US,70.0
Toyota Corolla Hardtop,Japan,95.0
Dodge Colt Hardtop,US,80.0
